Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_263_1030,VDD,Metal1,608.5400,1062.7525,3.294704
FILLER_263_1022,VDD,Metal1,605.3065,1062.8965,3.294704
FILLER_263_990,VDD,Metal1,594.2755,1063.0885,3.294704
FILLER_263_979,VDD,Metal1,578.7600,1062.3200,3.294705
FILLER_263_975,VDD,Metal1,577.7400,1062.7525,3.294705
FILLER_263_967,VDD,Metal1,574.5065,1062.8965,3.294705
FILLER_263_954,VDD,Metal1,565.0400,1062.3200,3.294707
FILLER_263_946,VDD,Metal1,562.7465,1062.8965,3.294707
FILLER_263_925,VDD,Metal1,548.8000,1062.3200,3.294709
FILLER_263_917,VDD,Metal1,546.5065,1062.8965,3.294709
FILLER_263_912,VDD,Metal1,541.2400,1062.3200,3.294712
FILLER_263_909,VDD,Metal1,539.5600,1062.3200,3.294712
FILLER_263_907,VDD,Metal1,538.7200,1062.3200,3.294712
FILLER_263_901,VDD,Metal1,535.0800,1062.3200,3.294712
FILLER_263_897,VDD,Metal1,534.0600,1062.7525,3.294712
FILLER_263_888,VDD,Metal1,527.8000,1062.3200,3.294712
FILLER_263_884,VDD,Metal1,526.7800,1062.7525,3.294712
FILLER_263_876,VDD,Metal1,523.5465,1062.8965,3.294712
FILLER_263_862,VDD,Metal1,513.2400,1062.3200,3.294715
FILLER_263_858,VDD,Metal1,512.2200,1062.7525,3.294715
FILLER_263_842,VDD,Metal1,506.8480,1063.0120,3.294715
FILLER_263_838,VDD,Metal1,500.0800,1062.3200,3.294716
FILLER_263_834,VDD,Metal1,498.7800,1062.7525,3.294716
FILLER_263_820,VDD,Metal1,489.7200,1062.3200,3.294717
FILLER_263_804,VDD,Metal1,485.5680,1063.0120,3.294717
FILLER_263_796,VDD,Metal1,476.5600,1062.3200,3.294717
FILLER_263_776,VDD,Metal1,465.0800,1062.3200,3.294720
FILLER_263_772,VDD,Metal1,464.0600,1062.7525,3.294720
FILLER_263_768,VDD,Metal1,460.8800,1062.3200,3.294721
